服务区,机型,最大安全载荷_kg,额定载荷_kg,可用体积_m3,空载往返能耗_kWh,边界载荷往返能耗_kWh,允许能耗上限_kWh,空载往返可行性
S001,A,25.0,25.0,0.06,1.1649313021250916,1.3165381716186038,2.9250000000000003,可行
S001,B,30.0,30.0,0.073,0.9329276589821238,1.2776543328571202,2.6,可行
S001,C,80.0,80.0,0.25,1.9471907065618852,3.0908875750848717,5.2,可行
S002,A,16.6843466939597,25.0,0.06,2.749618734644965,2.9250000000000003,2.9250000000000003,可行
S002,B,22.040225285207768,30.0,0.073,2.1920752969938704,2.6,2.6,可行
S002,C,39.444965016793184,80.0,0.25,4.6483703100883424,5.2,5.2,可行
S003,A,13.630526722041484,25.0,0.06,2.788154745216063,2.9250000000000003,2.9250000000000003,可行
S003,B,20.460486590191277,30.0,0.073,2.236320021425774,2.5999999999999996,2.6,可行
S003,C,38.69290484826168,80.0,0.25,4.642272926261009,5.2,5.2,可行
S004,A,3.702303651794383,25.0,0.06,2.9051346482851583,2.9250000000000003,2.9250000000000003,可行
S004,B,17.483652378426527,30.0,0.073,2.3214071405347125,2.6,2.6,可行
S004,C,27.426819058874464,80.0,0.25,4.883090962993755,5.2,5.2,可行
S005,A,25.0,25.0,0.06,1.9961865930866958,2.2535791368922986,2.9250000000000003,可行
S005,B,30.0,30.0,0.073,1.5960751443532135,2.1867106953181983,2.6,可行
S005,C,78.49094769834961,80.0,0.25,3.3501160231192717,5.199999999999999,5.2,可行
S006,A,25.0,25.0,0.06,1.223149264637657,1.389071795760954,2.9250000000000003,可行
S006,B,30.0,30.0,0.073,0.9812741279053949,1.349430363920665,2.6,可行
S006,C,80.0,80.0,0.25,2.035424836487003,3.25021753239995,5.2,可行
S007,A,25.0,25.0,0.06,1.7719185657152292,2.0113403191793813,2.9250000000000003,可行
S007,B,30.0,30.0,0.073,1.425138455976179,1.953385128426209,2.6,可行
S007,C,80.0,80.0,0.25,2.9295888303450237,4.670395187500229,5.2,可行
S008,A,,25.0,0.06,3.008564177543125,,2.9250000000000003,不可行
S008,B,14.17584028927679,30.0,0.073,2.399778038736402,2.6,2.6,可行
S008,C,14.435880735383789,80.0,0.25,5.079471505232126,5.2,5.2,可行
S009,A,25.0,25.0,0.06,2.1207698791445893,2.3939525206643646,2.9250000000000003,可行
S009,B,30.0,30.0,0.073,1.691327554392407,2.323266310826973,2.6,可行
S009,C,73.23892807838487,80.0,0.25,3.5821678318525256,5.2,5.2,可行
S010,A,25.0,25.0,0.06,1.8240840081229779,2.0682501599331213,2.9250000000000003,可行
S010,B,30.0,30.0,0.073,1.4616966408926038,2.008635972122347,2.6,可行
S010,C,80.0,80.0,0.25,3.0442756936176067,4.852849434158532,5.2,可行
S011,A,25.0,25.0,0.06,1.0806519261574579,1.2232875830735246,2.9250000000000003,可行
S011,B,30.0,30.0,0.073,0.8666294190674184,1.187503699046184,2.6,可行
S011,C,80.0,80.0,0.25,1.8000141683866895,2.8620636567660798,5.2,可行
S012,A,14.356225996545632,25.0,0.06,2.7817812147195315,2.9250000000000003,2.9250000000000003,可行
S012,B,20.95094962157621,30.0,0.073,2.2237292921198932,2.6,2.6,可行
S012,C,37.947670434446174,80.0,0.25,4.6710623541247305,5.2,5.2,可行
S013,A,25.0,25.0,0.06,1.826630733227764,2.06990123709954,2.9250000000000003,可行
S013,B,30.0,30.0,0.073,1.4606484837158749,2.010247231785786,2.6,可行
S013,C,80.0,80.0,0.25,3.0648000537791984,4.885613345328985,5.2,可行
S014,A,25.0,25.0,0.06,2.126066186704782,2.4119315676991464,2.9250000000000003,可行
S014,B,30.0,30.0,0.073,1.7113883430707837,2.341978394421938,2.6,可行
S014,C,74.58031629591095,80.0,0.25,3.507676687681592,5.2,5.2,可行
S015,A,25.0,25.0,0.06,2.3103140297015723,2.623193965402667,2.9250000000000003,可行
S015,B,30.0,30.0,0.073,1.852934635793898,2.548263471328948,2.6,可行
S015,C,65.7765870595366,80.0,0.25,3.8472982261076645,5.2,5.2,可行
