方案,硬时限违反数,硬时限总迟到（s）,加权迟到（硬窗，可行解为0）,完工时间（s）,总能耗（kWh）,架次数,理想点距离
完工时间优先,0,0.0,0.0,8116.623524116943,74.60498644293025,27,0.5411986304655316
能耗优先,0,0.0,0.0,8940.498200722945,64.7544752841047,24,0.30909903439766245
最少架次优先,0,0.0,0.0,10201.43367071636,69.0184526103474,20,0.48020746353128146
及时性优先,0,0.0,0.0,8116.623524116943,74.60498644293025,27,0.5411986304655316
综合折中,0,0.0,0.0,8347.474797307525,67.67053144311481,21,0.12407448977188293
