实验组,独立运行数,总迭代数,平均运行时间（s）,运行时间标准差（s）,硬时限违反数,硬时限总迟到（s）,最短完工时间（s）,各种子平均完工（s）,各种子完工中位数（s）,各种子完工标准差（s）,总能耗（kWh）,架次数,最优值较前一步改善（%）,最优值较B0改善（%）,均值较前一步改善（%）,均值较B0改善（%）,复核通过数,复核总数
B0 加权目标基线,10,4755,0.5956041998986621,0.12201302319205809,0,0.0,7929.84983297731,8111.359214511545,7933.458759999992,290.6205604699348,65.3946635925066,20,0.0,0.0,0.0,0.0,479,479
B1 +字典序完工目标,10,5289,0.6700390666999738,0.11721041536003549,0,0.0,7929.84983297731,7973.154930546271,7933.458759999992,120.29629936273153,65.363621890608,21,0.0,0.0,1.7038363153492335,1.7038363153492335,492,492
B2 +关键资源链邻域,10,4580,3.6700053333013782,0.9185809442874109,0,0.0,6697.349339072649,6798.846589376543,6768.558031189588,89.45166784421679,74.02359606878905,24,15.542545191450511,15.542545191450511,14.728276966885325,16.181167550647547,530,530
B3 +Top-K精确复算,10,5659,7.56420592499926,0.7381390699683232,0,0.0,6504.819467083989,6778.935464989178,6804.818325346688,192.11122694296944,71.35170142639014,23,2.8747174776359854,17.970458405998397,0.29286032749256025,16.426639657859162,517,517
