服务区,机型,最大安全载荷_kg,额定载荷_kg,可用体积_m3,空载往返能耗_kWh,边界载荷往返能耗_kWh,允许能耗上限_kWh,安全载荷受限原因,额定载荷临界安全余量,空载可行临界安全余量,空载往返可行性
S001,A,25.0,25.0,0.06,1.161535565962225,1.3127179684353787,3.15,额定载重,0.7082848959032492,0.7418809853417278,可行
S001,B,30.0,30.0,0.073,0.9302326302814361,1.2739486683936745,2.8,额定载重,0.6815128329015814,0.767441842429641,可行
S001,C,80.0,80.0,0.25,1.9413860293604042,3.0816968361825268,5.6,额定载重,0.6147878954771842,0.7573267463299495,可行
S002,A,25.0,25.0,0.06,2.739790113675456,3.0904489335365524,3.15,额定载重,0.3132335703252106,0.39115775251656537,可行
S002,B,26.745939640161748,30.0,0.073,2.1841129651667233,2.8,2.8,能源安全余量,0.2503095819124792,0.4539717587083192,可行
S002,C,52.95164137933852,80.0,0.25,4.632421898441414,5.6,5.6,能源安全余量,0.08152856567842992,0.4209472626948233,可行
S003,A,24.737321265983805,25.0,0.06,2.7889115061867393,3.15,3.15,能源安全余量,0.2984825352359919,0.38024188751405796,可行
S003,B,25.42656325298522,30.0,0.073,2.2369206253707556,2.8,2.8,能源安全余量,0.23389821456363546,0.4407698436573111,可行
S003,C,51.795793306125105,80.0,0.25,4.643566534757891,5.6,5.6,能源安全余量,0.07721272820827374,0.4195541831552636,可行
S004,A,20.169076835092188,25.0,0.06,2.8939862068447093,3.15,3.15,能源安全余量,0.2740565885788122,0.356891954034509,可行
S004,B,23.44182611149862,30.0,0.073,2.312559171137531,2.8,2.8,能源安全余量,0.20753723627601706,0.42186020721561723,可行
S004,C,44.747168841196256,80.0,0.25,4.864033798138287,5.6,5.6,能源安全余量,0.035584428003618385,0.3919957752327141,可行
S005,A,25.0,25.0,0.06,1.988477623713984,2.244906546347998,3.15,额定载重,0.5011318785893338,0.5581160836191146,可行
S005,B,30.0,30.0,0.073,1.5899569146923311,2.178298129534485,2.8,额定载重,0.4554254676163787,0.6025107713269172,可行
S005,C,80.0,80.0,0.25,3.3369382976958324,5.29270581033989,5.6,额定载重,0.33841177370751374,0.582882712788021,可行
S006,A,25.0,25.0,0.06,1.2237841336727366,1.3897202357524223,3.15,额定载重,0.6911732809439062,0.7280479702949474,可行
S006,B,30.0,30.0,0.073,0.9816123047462184,1.3500598262592887,2.8,额定载重,0.6624850434351779,0.7545969238134453,可行
S006,C,80.0,80.0,0.25,2.037383008275479,3.2533315671841225,5.6,额定载重,0.5933335541019846,0.7453271239655651,可行
S007,A,25.0,25.0,0.06,1.7775204111077325,2.0179303000171163,3.15,额定载重,0.5515710444406408,0.6049954641982817,可行
S007,B,30.0,30.0,0.073,1.4303094585156075,1.9597754949900006,2.8,额定载重,0.5100561262524999,0.6424226353710981,可行
S007,C,80.0,80.0,0.25,2.935344474420381,4.679448790300169,5.6,额定载重,0.41506890121247886,0.6330819406974524,可行
S008,A,14.213195497174784,25.0,0.06,3.00043996879102,3.15,3.15,能源安全余量,0.24728942424410372,0.3332355624908845,可行
S008,B,21.000846135933987,30.0,0.073,2.3937127543807923,2.8,2.8,能源安全余量,0.17820882811943106,0.4015718114048019,可行
S008,C,36.81379894073495,80.0,0.25,5.063568763117286,5.6,5.6,能源安全余量,-0.004747206169532614,0.36705390461033927,可行
S009,A,25.0,25.0,0.06,2.1144568478225856,2.3868503604271103,3.15,额定载重,0.46958880879397547,0.5301207004838699,可行
S009,B,30.0,30.0,0.073,1.6863172120733563,2.3163770901382783,2.8,额定载重,0.4209057274654304,0.578420696981661,可行
S009,C,79.15354348968604,80.0,0.25,3.5713763253191857,5.6,5.6,能源安全余量,0.2913130897686079,0.5535779593351018,可行
S010,A,25.0,25.0,0.06,1.8262636286424887,2.070702233017571,3.15,额定载重,0.5398439482183176,0.5941636380794469,可行
S010,B,30.0,30.0,0.073,1.4634264984477712,2.0110145262607024,2.8,额定载重,0.4972463684348244,0.6341433753880572,可行
S010,C,80.0,80.0,0.25,3.0480015406595062,4.858748691974873,5.6,额定载重,0.39265641350314084,0.6189998074175618,可行
S011,A,25.0,25.0,0.06,1.077383995924925,1.2196111615619247,3.15,额定载重,0.7289752974306833,0.7605813342389056,可行
S011,B,30.0,30.0,0.073,0.8640358236447732,1.1839375053400467,2.8,额定载重,0.7040156236649884,0.7839910440888067,可行
S011,C,80.0,80.0,0.25,1.7944279628609916,2.8532188313503917,5.6,额定载重,0.6433476460812011,0.775696504642376,可行
S012,A,25.0,25.0,0.06,2.7716093323094517,3.1312043942755188,3.15,额定载重,0.3041768012721069,0.3840868150423441,可行
S012,B,25.984095736079347,30.0,0.073,2.21467057874261,2.8,2.8,能源安全余量,0.24026589780871888,0.44633235531434745,可行
S012,C,51.75596951281162,80.0,0.25,4.658868166621739,5.6,5.6,能源安全余量,0.07520772240725915,0.41764147917228267,可行
S013,A,25.0,25.0,0.06,1.8302303036036722,2.0741332717937024,3.15,额定载重,0.539081495156955,0.5932821547547396,可行
S013,B,30.0,30.0,0.073,1.4639649606180372,2.0143510924730945,2.8,额定载重,0.49641222688172637,0.6340087598454907,可行
S013,C,80.0,80.0,0.25,3.06853136458838,4.891483533719128,5.6,额定载重,0.38856455828510905,0.6164335794264525,可行
S014,A,25.0,25.0,0.06,2.137884078021016,2.4256923174417304,3.15,额定载重,0.4609572627907266,0.5249146493286632,可行
S014,B,30.0,30.0,0.073,1.7219402995525914,2.355323279554873,2.8,额定载重,0.4111691801112818,0.5695149251118521,可行
S014,C,79.90370575258387,80.0,0.25,3.521699951091188,5.6,5.6,能源安全余量,0.29902979843269506,0.5597875061136015,可行
S015,A,25.0,25.0,0.06,2.306810556180895,2.6192525576919055,3.15,额定载重,0.4179438760684655,0.48737543195980104,可行
S015,B,30.0,30.0,0.073,1.8501541012536782,2.544440236336145,2.8,额定载重,0.3638899409159637,0.5374614746865805,可行
S015,C,73.00768963201277,80.0,0.25,3.8413093824825757,5.6,5.6,能源安全余量,0.23337664408849612,0.519836327189678,可行
