服务区,货箱数,架次数,总能耗_kWh,累计作业时间_s
S001,15,2,5.913351350483438,3186.338123276452
S002,8,2,10.41957182786563,3951.6243209989716
S003,8,2,10.497406249823745,4608.182279906834
S004,6,2,8.095021449027595,4090.6998227449576
S005,6,1,4.222192387345577,1877.1904432543072
S006,6,1,2.597987762362441,1561.5538503101416
S007,5,1,3.4108941098668497,1907.5664063000509
S008,5,2,8.05275887876769,3969.532066982811
S009,3,1,2.0962334622162127,1558.4416307982196
S010,3,1,1.8231955389249852,1555.37950602052
S011,3,1,1.0739517329661894,1188.4204600339176
S012,3,1,2.7524137094266754,1922.7401292699428
S013,3,1,1.8247591062299287,1510.472262686102
S014,3,1,2.1403882509279963,1869.7563295093853
S015,3,1,2.307452507085184,1828.2765182305734
全部,80,20,67.22757832332015,36586.17415032319
