返航安全余量,可行性,总往返架次数,总运输能耗_kWh,累计作业时间_s,不可行原因
10%,可行,18,59.131286558612956,32776.01349110383,
15%,可行,18,59.131286558612956,32776.01349110383,
20%,可行,18,59.131286558612956,32776.01349110383,
25%,可行,19,61.07337746091129,34565.656874766355,
30%,可行,20,67.22757832332015,36586.17415032319,
35%,可行,25,75.60757628057762,45383.559462700716,
40%,不可行,,,,至少一个服务区无可行组批（按编号求解首先检测到：S004 不存在覆盖全部货箱的可行组批）
