返航安全余量,机型,平均最大安全载荷_kg,可行服务区数
10%,A,25.0,15
10%,B,30.0,15
10%,C,78.6821261661179,15
15%,A,25.0,15
15%,B,30.0,15
15%,C,77.08459457583555,15
20%,A,25.0,15
20%,B,29.91192735184234,15
20%,C,75.09195802924113,15
25%,A,24.949126584136003,15
25%,B,29.381456845348605,15
25%,C,72.41414670433015,15
30%,A,23.871864981292596,15
30%,B,28.117664703808824,15
30%,C,68.50609918663811,15
35%,A,21.312385933167228,14
35%,B,26.34074361097857,15
35%,C,62.00233461506276,15
