方案,硬时限违反数,硬时限总迟到（s）,普通物资加权迟到,完工时间（s）,总能耗（kWh）,架次数,理想点距离
及时性优先,0,0.0,199679.54398903687,10940.874592637967,67.37521038380218,19,0.7235999434192952
完工时间优先,0,0.0,333401.39627793565,9626.15344120785,60.40730109337593,17,0.32077317324148086
能耗优先,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16,0.2646748437638455
最少架次优先,0,0.0,901267.3029259634,13887.59763586255,63.34763522797024,14,0.6997059165639186
综合折中,0,0.0,345087.79307321674,9796.155071302372,59.852468862870126,16,0.2239903567239694
