方案,硬时限违反数,硬时限总迟到（s）,普通物资加权迟到,完工时间（s）,总能耗（kWh）,架次数
单点直投基线,0,0.0,353233.1206018006,10167.413896418915,60.409099725860294,18
Pareto综合折中方案,0,0.0,345087.79307321674,9796.155071302372,59.852468862870126,16
