实验组,硬时限违反数,完工时间（s）,总能耗（kWh）,架次数,相对完整方案完工变化（%）,能耗变化（%）,架次变化
完整方案B,0,8334.029392485472,63.5223945121432,19,-0.0,-0.0,0
关闭自适应权重,0,7933.458759999992,64.49153134022805,20,-4.806446121328318,1.5256616749539962,1
关闭资源瓶颈破坏,0,7994.499226378144,63.92004623712173,19,-4.074021702076928,0.6260024169940784,0
关闭regret插入,0,9048.155608825611,64.80986437747752,19,8.56879886917658,2.0267968095695843,0
