Pareto点,完工时间（s）,总能耗（kWh）,架次数,归一化完工时间,归一化能耗,归一化架次,理想点距离
1,7803.789956673524,64.988525532539,20,0.0,1.0,0.6666666666666666,0.6009252125773316
2,7825.090772818416,64.5284616963468,21,0.017117811077517708,0.7441058491742502,1.0,0.6232949811749284
3,7933.458759999992,63.47374810505675,20,0.1042047432779991,0.1574589154761476,0.6666666666666666,0.3464449389978885
4,8334.029392485472,63.5223945121432,19,0.42611224031691775,0.18451674974354385,0.3333333333333333,0.2858011473887637
5,9048.155608825611,63.19065780204334,18,1.0,0.0,0.0,0.5
