方案,完工时间（s）,总能耗（kWh）,架次数,理想点距离
完工时间优先,7803.789956673524,64.988525532539,20,0.6009252125773316
能耗优先,9048.155608825611,63.19065780204334,18,0.5
最少架次优先,9048.155608825611,63.19065780204334,18,0.5
及时性优先,7803.789956673524,64.988525532539,20,0.6009252125773316
综合折中,8334.029392485472,63.5223945121432,19,0.2858011473887637
