服务区,机型,最大安全载荷_kg,额定载荷_kg,可用体积_m3,空载往返能耗_kWh,边界载荷往返能耗_kWh,允许能耗上限_kWh,空载往返可行性
S001,A,25.0,25.0,0.06,1.1649313021250916,1.3165381716186038,3.8249999999999997,可行
S001,B,30.0,30.0,0.073,0.9329276589821238,1.2776543328571202,3.4,可行
S001,C,80.0,80.0,0.25,1.9471907065618852,3.0908875750848717,6.8,可行
S002,A,25.0,25.0,0.06,2.749618734644965,3.10157039172789,3.8249999999999997,可行
S002,B,30.0,30.0,0.073,2.1920752969938704,3.0095492296108115,3.4,可行
S002,C,73.95860225383527,80.0,0.25,4.6483703100883424,6.8,6.8,可行
S003,A,25.0,25.0,0.06,2.788154745216063,3.1559772353460254,3.8249999999999997,可行
S003,B,30.0,30.0,0.073,2.236320021425774,3.0635813113211086,3.4,可行
S003,C,73.77567555231626,80.0,0.25,4.642272926261009,6.799999999999999,6.8,可行
S004,A,25.0,25.0,0.06,2.9051346482851583,3.27928734801585,3.8249999999999997,可行
S004,B,30.0,30.0,0.073,2.3214071405347125,3.182017012817056,3.4,可行
S004,C,69.545730203643,80.0,0.25,4.883090962993755,6.799999999999999,6.8,可行
S005,A,25.0,25.0,0.06,1.9961865930866958,2.2535791368922986,3.8249999999999997,可行
S005,B,30.0,30.0,0.073,1.5960751443532135,2.1867106953181983,3.4,可行
S005,C,80.0,80.0,0.25,3.3501160231192717,5.313570542260336,6.8,可行
S006,A,25.0,25.0,0.06,1.223149264637657,1.389071795760954,3.8249999999999997,可行
S006,B,30.0,30.0,0.073,0.9812741279053949,1.349430363920665,3.4,可行
S006,C,80.0,80.0,0.25,2.035424836487003,3.25021753239995,6.8,可行
S007,A,25.0,25.0,0.06,1.7719185657152292,2.0113403191793813,3.8249999999999997,可行
S007,B,30.0,30.0,0.073,1.425138455976179,1.953385128426209,3.4,可行
S007,C,80.0,80.0,0.25,2.9295888303450237,4.670395187500229,6.8,可行
S008,A,25.0,25.0,0.06,3.008564177543125,3.3961854506014215,3.8249999999999997,可行
S008,B,30.0,30.0,0.073,2.399778038736402,3.295884141376814,3.4,可行
S008,C,65.57932856750696,80.0,0.25,5.079471505232126,6.799999999999999,6.8,可行
S009,A,25.0,25.0,0.06,2.1207698791445893,2.3939525206643646,3.8249999999999997,可行
S009,B,30.0,30.0,0.073,1.691327554392407,2.323266310826973,3.4,可行
S009,C,80.0,80.0,0.25,3.5821678318525256,5.686581833862258,6.8,可行
S010,A,25.0,25.0,0.06,1.8240840081229779,2.0682501599331213,3.8249999999999997,可行
S010,B,30.0,30.0,0.073,1.4616966408926038,2.008635972122347,3.4,可行
S010,C,80.0,80.0,0.25,3.0442756936176067,4.852849434158532,6.8,可行
S011,A,25.0,25.0,0.06,1.0806519261574579,1.2232875830735246,3.8249999999999997,可行
S011,B,30.0,30.0,0.073,0.8666294190674184,1.187503699046184,3.4,可行
S011,C,80.0,80.0,0.25,1.8000141683866895,2.8620636567660798,6.8,可行
S012,A,25.0,25.0,0.06,2.7817812147195315,3.143039178933906,3.8249999999999997,可行
S012,B,30.0,30.0,0.073,2.2237292921198932,3.0504135972912714,3.4,可行
S012,C,73.40958206023187,80.0,0.25,4.6710623541247305,6.799999999999999,6.8,可行
S013,A,25.0,25.0,0.06,1.826630733227764,2.06990123709954,3.8249999999999997,可行
S013,B,30.0,30.0,0.073,1.4606484837158749,2.010247231785786,3.4,可行
S013,C,80.0,80.0,0.25,3.0648000537791984,4.885613345328985,6.8,可行
S014,A,25.0,25.0,0.06,2.126066186704782,2.4119315676991464,3.8249999999999997,可行
S014,B,30.0,30.0,0.073,1.7113883430707837,2.341978394421938,3.4,可行
S014,C,80.0,80.0,0.25,3.507676687681592,5.585654340689022,6.8,可行
S015,A,25.0,25.0,0.06,2.3103140297015723,2.623193965402667,3.8249999999999997,可行
S015,B,30.0,30.0,0.073,1.852934635793898,2.548263471328948,3.4,可行
S015,C,80.0,80.0,0.25,3.8472982261076645,6.142469183031755,6.8,可行
