总往返架次数,Pareto解数量,该架次数最低能耗_kWh,最低能耗方案累计作业时间_s,该架次数最短累计作业时间_s,最短时间方案总能耗_kWh,最低能耗较最少架次方案变化_pct,最短时间较最少架次方案变化_pct
18,1,59.131286558612956,32776.01349110383,32776.01349110383,59.131286558612956,0.0,0.0
19,5,59.03393267637824,34439.97485845754,33784.433951137755,59.90693730409818,-0.1646402233075217,3.076702602369963
20,8,59.05955495725881,35744.95914805838,34717.14500427287,59.66599761235045,-0.1213090489466051,5.922414919971586
